task,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,LibriSeVoc_cross_method,modelname,version
Wave2Vec2-old1---v06,99.49/$\phantom{0}$2.92,99.99/$\phantom{0}$0.30,97.63/$\phantom{0}$6.82,99.09/$\phantom{0}$3.84,99.05/$\phantom{0}$3.47,Wave2Vec2-old1,v06
Wave2Vec2-old1---v07,98.66/$\phantom{0}$4.74,99.99/$\phantom{0}$0.27,96.00/$\phantom{0}$9.23,98.67/$\phantom{0}$4.70,98.33/$\phantom{0}$4.73,Wave2Vec2-old1,v07
Wave2Vec2-old1---v08,99.63/$\phantom{0}$2.52,99.99/$\phantom{0}$0.30,97.50/$\phantom{0}$7.57,99.48/$\phantom{0}$2.95,99.15/$\phantom{0}$3.34,Wave2Vec2-old1,v08
Wave2Vec2-old1---v09,98.34/$\phantom{0}$4.49,99.92/$\phantom{0}$0.62,92.09/14.24,97.73/$\phantom{0}$6.10,97.02/$\phantom{0}$6.36,Wave2Vec2-old1,v09
Wave2Vec2-old1---v10,99.77/$\phantom{0}$1.78,100.00/$\phantom{0}$0.19,97.43/$\phantom{0}$7.08,99.68/$\phantom{0}$2.33,99.22/$\phantom{0}$2.84,Wave2Vec2-old1,v10
WaveLM---v00,99.88/$\phantom{0}$1.40,100.00/$\phantom{0}$0.19,98.47/$\phantom{0}$6.29,99.76/$\phantom{0}$2.08,99.53/$\phantom{0}$2.49,WaveLM,v00
WaveLM---v01,98.85/$\phantom{0}$5.64,99.97/$\phantom{0}$0.64,93.99/13.82,98.89/$\phantom{0}$5.55,97.93/$\phantom{0}$6.41,WaveLM,v01
WaveLM---v02,96.41/11.02,99.93/$\phantom{0}$0.95,86.71/22.82,98.84/$\phantom{0}$5.76,95.47/10.13,WaveLM,v02
WaveLM---v03,99.77/$\phantom{0}$2.01,100.00/$\phantom{0}$0.30,98.28/$\phantom{0}$6.49,99.78/$\phantom{0}$2.08,99.46/$\phantom{0}$2.72,WaveLM,v03
WaveLM---v04,99.87/$\phantom{0}$1.17,99.99/$\phantom{0}$0.19,98.34/$\phantom{0}$6.29,99.52/$\phantom{0}$2.92,99.43/$\phantom{0}$2.64,WaveLM,v04
WaveLM---v06,99.70/$\phantom{0}$2.36,99.99/$\phantom{0}$0.30,98.03/$\phantom{0}$7.19,99.48/$\phantom{0}$3.34,99.30/$\phantom{0}$3.30,WaveLM,v06
WaveLM---v07,70.16/34.42,95.26/11.02,79.45/27.41,66.66/37.23,77.88/27.52,WaveLM,v07
WaveLM---v08,99.93/$\phantom{0}$1.20,100.00/$\phantom{0}$0.08,98.57/$\phantom{0}$6.17,99.96/$\phantom{0}$0.85,99.62/$\phantom{0}$2.08,WaveLM,v08
WaveLM---v09,99.91/$\phantom{0}$1.22,100.00/$\phantom{0}$0.08,98.87/$\phantom{0}$5.09,99.92/$\phantom{0}$1.21,99.68/$\phantom{0}$1.90,WaveLM,v09
WaveLM---v10,99.84/$\phantom{0}$2.01,100.00/$\phantom{0}$0.10,97.26/$\phantom{0}$8.82,99.95/$\phantom{0}$1.06,99.26/$\phantom{0}$3.00,WaveLM,v10
WaveLM-old1---v00,99.99/$\phantom{0}$0.33,100.00/$\phantom{0}$0.15,99.89/$\phantom{0}$1.29,99.97/$\phantom{0}$0.65,99.96/$\phantom{0}$0.60,WaveLM-old1,v00
WaveLM-old1---v01,99.96/$\phantom{0}$0.72,100.00/$\phantom{0}$0.04,99.50/$\phantom{0}$3.41,99.86/$\phantom{0}$1.63,99.83/$\phantom{0}$1.45,WaveLM-old1,v01
WaveLM-old1---v02,99.97/$\phantom{0}$0.67,100.00/$\phantom{0}$0.05,99.57/$\phantom{0}$2.44,99.88/$\phantom{0}$1.14,99.85/$\phantom{0}$1.08,WaveLM-old1,v02
WaveLM-old1---v03,99.93/$\phantom{0}$0.73,100.00/$\phantom{0}$0.23,97.24/$\phantom{0}$8.15,99.67/$\phantom{0}$1.97,99.21/$\phantom{0}$2.77,WaveLM-old1,v03
WaveLM-old1---v04,99.98/$\phantom{0}$0.57,100.00/$\phantom{0}$0.19,99.54/$\phantom{0}$2.80,99.82/$\phantom{0}$1.80,99.83/$\phantom{0}$1.34,WaveLM-old1,v04
WaveLM-old1---v06,99.91/$\phantom{0}$0.80,99.99/$\phantom{0}$0.27,93.34/13.88,98.81/$\phantom{0}$4.32,98.01/$\phantom{0}$4.81,WaveLM-old1,v06
WaveLM-old1---v07,99.78/$\phantom{0}$1.82,99.99/$\phantom{0}$0.34,94.60/12.49,99.16/$\phantom{0}$3.94,98.38/$\phantom{0}$4.65,WaveLM-old1,v07
WaveLM-old1---v08,99.96/$\phantom{0}$0.80,100.00/$\phantom{0}$0.04,99.39/$\phantom{0}$3.48,99.88/$\phantom{0}$1.50,99.81/$\phantom{0}$1.45,WaveLM-old1,v08
WaveLM-old1---v09,99.94/$\phantom{0}$0.98,100.00/$\phantom{0}$0.05,99.19/$\phantom{0}$4.01,99.85/$\phantom{0}$1.67,99.75/$\phantom{0}$1.68,WaveLM-old1,v09
WaveLM-old1---v10,99.99/$\phantom{0}$0.43,100.00/$\phantom{0}$0.15,98.61/$\phantom{0}$5.64,99.90/$\phantom{0}$1.33,99.62/$\phantom{0}$1.89,WaveLM-old1,v10
LibriSeVoc---v00,71.29/33.70,73.39/32.36,65.91/38.22,76.38/29.95,71.74/33.56,LibriSeVoc,v00
LibriSeVoc---v01,66.06/36.99,74.23/30.48,61.10/40.57,73.17/31.89,68.64/34.98,LibriSeVoc,v01
LibriSeVoc---v02,61.33/42.30,61.18/40.68,56.10/45.43,61.50/41.63,60.03/42.51,LibriSeVoc,v02
LibriSeVoc---v03,67.09/36.58,71.57/33.27,65.10/37.72,68.82/35.44,68.14/35.75,LibriSeVoc,v03
