task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole
model,,,,,,,
LibriSeVoc-v6,87.61/18.29,79.49/29.31,81.02/27.74,92.28/13.70,85.75/24.01,84.24/20.55,84.57/24.54
LibriSeVoc-v7,84.18/21.89,77.94/29.31,81.03/27.06,93.38/12.66,86.22/23.50,81.19/23.75,84.32/24.37
LibriSeVoc-v8,85.93/19.56,80.00/29.04,81.92/26.97,89.40/15.65,84.09/23.74,83.18/21.73,83.81/24.08
LibriSeVoc-v9,85.30/20.47,78.65/29.17,79.79/27.93,87.65/18.96,82.18/25.25,84.02/21.72,82.23/25.14
Ours/ResNet-v0,96.10/10.69,90.02/18.54,89.52/19.30,97.07/$\phantom{0}$9.02,93.25/15.45,95.01/12.54,92.64/16.01
Ours/ResNet-v1,95.34/11.65,88.93/20.27,87.60/21.86,96.58/$\phantom{0}$9.95,92.66/16.30,93.96/13.55,91.62/17.54
Ours/ResNet-v10,93.55/14.70,87.09/21.99,87.73/21.05,95.65/11.62,91.28/17.62,91.51/16.81,90.47/18.51
Ours/ResNet-v2,93.99/13.82,87.82/21.08,87.41/21.24,96.04/10.82,91.55/17.17,91.92/16.36,90.75/18.02
Ours/ResNet-v3,95.26/11.99,89.16/19.77,88.22/21.00,96.80/$\phantom{0}$9.31,93.02/15.58,94.00/13.80,91.93/16.94
Ours/ResNet-v4,91.19/17.11,85.43/23.33,85.70/22.85,94.75/13.13,89.28/19.64,87.80/20.63,88.65/20.34
Ours/ResNet-v6,94.95/12.60,89.05/20.07,88.19/20.91,96.69/10.06,92.70/15.99,93.28/14.72,91.76/17.34
Ours/ResNet-v7,95.85/11.18,88.55/20.72,89.40/19.54,96.46/10.25,92.03/16.71,94.43/13.09,91.79/16.96
Ours/ResNet-v8,92.04/16.35,85.75/22.77,84.29/24.32,94.97/12.32,90.08/18.62,89.21/19.08,88.76/20.14
Ours/ResNet-v9,94.77/12.83,88.86/20.17,89.27/19.60,97.01/$\phantom{0}$9.13,93.13/15.29,92.82/15.41,92.09/16.77
RawGAT-v0,91.89/16.00,83.71/23.97,89.19/18.67,96.53/$\phantom{0}$8.32,89.35/19.15,88.54/19.49,89.59/18.42
RawGAT-v1,93.71/14.01,84.50/23.75,89.16/19.07,96.46/$\phantom{0}$8.77,89.82/18.73,91.11/17.35,90.08/18.24
RawGAT-v10,94.39/13.07,86.12/22.75,90.16/18.19,97.35/$\phantom{0}$7.46,91.58/17.49,91.80/16.09,91.35/17.04
RawGAT-v2,90.92/18.43,82.52/26.60,88.16/21.06,96.50/10.24,88.88/20.91,85.90/23.66,88.74/20.72
RawGAT-v3,94.03/13.43,85.49/23.18,90.56/17.97,96.92/$\phantom{0}$8.66,91.29/17.75,91.68/16.50,91.11/17.43
RawGAT-v4,91.32/17.34,82.82/25.50,88.43/20.59,94.74/12.55,88.12/21.35,87.55/20.90,88.44/20.80
RawGAT-v6,94.25/13.50,85.01/23.42,90.68/17.80,97.98/$\phantom{0}$6.42,90.88/19.30,91.49/16.70,91.17/17.78
RawGAT-v7,93.51/14.40,86.17/22.12,91.30/16.59,97.69/$\phantom{0}$6.58,91.84/17.13,90.79/16.98,91.67/16.58
RawGAT-v8,94.30/13.12,87.14/20.93,92.16/15.60,97.97/$\phantom{0}$6.87,92.49/16.50,92.03/15.45,92.40/15.72
RawGAT-v9,94.10/13.67,85.08/22.78,89.31/18.99,97.33/$\phantom{0}$8.20,90.94/19.05,91.94/16.09,90.79/17.97
RawNet2-v0,88.33/20.22,79.93/28.66,81.59/27.78,93.23/15.05,86.69/23.90,85.39/22.42,85.36/24.44
RawNet2-v1,89.42/19.40,80.67/27.73,83.00/26.24,93.51/13.97,86.54/23.98,87.22/21.50,86.05/23.71
RawNet2-v10,88.58/19.86,81.25/27.37,83.83/25.30,92.28/14.42,85.92/23.85,86.31/21.84,85.87/23.29
RawNet2-v2,86.40/21.26,79.59/28.47,80.88/27.50,89.58/18.53,82.20/26.09,83.52/23.30,83.11/25.17
RawNet2-v3,89.55/18.44,80.47/27.82,82.00/26.62,90.94/17.10,85.10/23.75,87.80/19.94,84.90/23.78
RawNet2-v4,90.22/17.93,81.38/26.99,83.49/25.54,91.11/17.14,86.52/23.35,88.62/19.30,85.89/23.16
RawNet2-v6,89.12/19.17,81.02/27.31,82.39/25.84,89.97/18.03,83.97/24.05,86.73/21.43,84.56/23.67
RawNet2-v7,87.26/21.47,80.72/27.78,82.44/26.35,90.13/17.91,84.92/24.61,84.64/24.09,84.56/24.51
RawNet2-v8,82.80/24.43,79.05/28.95,80.29/27.50,83.03/22.96,78.48/27.58,81.44/26.38,80.30/26.57
RawNet2-v9,87.77/21.21,79.65/28.44,81.24/27.50,92.26/16.55,85.77/24.52,84.38/23.67,84.68/24.81
SFATNet-v0,86.46/23.43,78.36/30.55,78.23/30.36,81.11/27.29,77.16/30.86,86.51/23.31,79.44/29.40
SFATNet-v1,83.05/26.10,76.54/31.39,77.36/30.40,80.19/27.76,77.08/30.42,81.58/27.77,78.19/29.81
SFATNet-v10,85.03/24.91,78.33/30.22,77.87/30.17,81.20/27.05,77.71/30.00,83.65/26.41,79.23/29.15
SFATNet-v2,85.07/24.71,78.18/30.25,77.23/30.72,81.27/26.93,78.87/28.99,85.15/24.70,79.45/28.97
SFATNet-v3,83.21/26.44,76.34/31.80,76.31/31.71,80.45/28.05,76.50/31.26,82.85/26.71,77.91/30.48
SFATNet-v4,84.67/24.42,78.36/30.28,77.25/30.93,81.76/26.42,79.43/28.58,84.49/24.66,79.65/28.76
SFATNet-v6,85.80/23.88,79.12/29.47,78.53/30.17,81.78/26.35,78.55/29.53,85.09/24.99,80.02/28.54
SFATNet-v7,81.52/27.90,75.40/33.08,75.65/32.34,78.35/29.49,75.52/31.97,81.31/28.47,76.70/31.47
SFATNet-v8,84.69/24.55,78.26/29.78,78.30/29.46,82.25/25.60,78.30/29.25,83.68/25.47,79.69/28.35
SFATNet-v9,82.28/26.63,76.22/32.08,75.46/32.34,80.28/27.44,77.81/29.76,82.78/26.15,77.94/30.18
Wav2Clip-v0,94.13/13.96,83.36/25.64,80.97/27.78,92.81/15.63,89.86/18.95,95.08/12.72,88.02/21.30
Wav2Clip-v1,93.41/14.33,84.18/23.90,82.07/25.48,93.00/15.11,90.15/18.70,94.36/13.44,88.77/19.84
Wav2Clip-v10,91.84/15.96,80.56/26.52,79.41/27.61,91.17/16.95,87.51/20.52,94.19/13.16,86.72/21.47
Wav2Clip-v2,93.46/14.66,81.98/26.11,78.37/28.57,91.50/17.08,88.19/20.51,95.18/12.32,87.11/21.43
Wav2Clip-v3,92.83/14.95,82.77/25.12,79.85/27.63,92.87/15.20,90.78/17.63,94.52/12.93,88.38/19.87
Wav2Clip-v4,93.56/13.84,82.48/25.34,81.12/26.43,91.70/16.33,89.03/19.10,95.69/11.02,87.82/20.63
Wav2Clip-v6,93.83/13.78,82.80/25.45,79.91/27.47,92.08/16.11,89.26/19.29,95.46/11.63,87.74/21.01
Wav2Clip-v7,93.69/14.20,84.17/24.39,81.47/26.74,93.00/15.24,90.07/18.43,94.53/13.40,88.73/19.85
Wav2Clip-v8,93.10/14.22,83.38/24.80,80.54/27.78,91.74/15.99,87.27/21.03,94.78/12.32,87.37/21.14
Wav2Clip-v9,94.15/13.43,83.65/24.71,80.00/27.62,92.31/15.85,90.47/18.33,95.84/11.00,88.37/20.27
Wave2Vec2-v0,97.53/$\phantom{0}$7.55,94.89/12.76,97.29/$\phantom{0}$8.44,98.93/$\phantom{0}$4.55,95.72/12.51,97.35/$\phantom{0}$7.63,96.78/$\phantom{0}$9.66
Wave2Vec2-v1,96.01/10.46,94.38/13.86,97.03/$\phantom{0}$9.35,98.82/$\phantom{0}$5.34,95.24/13.55,95.23/10.86,96.26/10.83
Wave2Vec2-v10,93.44/12.28,91.46/15.34,92.97/10.51,94.52/$\phantom{0}$8.97,90.92/14.81,92.89/13.47,92.49/12.08
Wave2Vec2-v2,95.69/11.31,92.27/16.70,95.65/12.26,97.63/$\phantom{0}$8.00,95.16/13.51,95.19/11.67,95.16/12.92
Wave2Vec2-v3,96.27/10.34,93.21/16.35,96.13/11.40,97.97/$\phantom{0}$6.56,94.72/13.54,96.55/$\phantom{0}$9.72,95.60/11.93
Wave2Vec2-v4,95.60/10.99,92.86/15.58,95.90/11.44,98.62/$\phantom{0}$5.51,94.54/15.20,94.75/11.99,95.41/12.59
Wave2Vec2-v6,93.21/12.54,91.58/15.91,94.35/11.12,95.59/$\phantom{0}$8.45,92.59/13.50,92.61/13.44,93.43/12.35
