task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
Wave2Vec2---v01,75.33/40.74,72.97/35.29,75.45/32.71,74.52/34.16,72.04/34.70,73.05/42.41,73.66/34.84,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v01
Wave2Vec2---v02,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,Wave2Vec2,v02
Wave2Vec2---v03,62.80/43.43,77.88/34.41,80.75/30.80,80.71/30.37,79.97/28.16,56.62/43.55,77.77/33.21,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v03
Wave2Vec2---v04,61.49/43.11,72.33/37.61,71.95/37.92,75.44/39.11,77.61/33.27,56.82/43.26,72.81/39.42,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v04
Wave2Vec2---v06,70.12/34.11,77.06/28.98,77.34/27.86,80.11/24.69,81.13/24.05,65.60/36.39,77.76/27.39,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v06
Wave2Vec2---v07,64.88/43.00,73.90/36.04,75.14/34.30,82.44/30.75,84.24/26.50,58.89/43.20,77.13/34.87,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v07
Wave2Vec2---v08,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,Wave2Vec2,v08
Wave2Vec2---v09,82.29/33.41,73.97/35.97,74.60/35.30,78.05/31.40,79.13/28.40,84.12/33.67,77.10/32.93,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v09
Wave2Vec2---v10,72.27/33.96,70.00/36.54,69.17/36.64,73.32/33.15,72.91/34.48,70.34/35.94,71.25/35.32,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2,v10
Wave2Vec2-old1---v00,97.53/$\phantom{0}$7.55,94.89/12.76,97.29/$\phantom{0}$8.44,98.93/$\phantom{0}$4.55,95.72/12.51,97.35/$\phantom{0}$7.63,96.78/$\phantom{0}$9.66,nan,nan,nan,nan,nan,nan,nan,Wave2Vec2-old1,v00
