task,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,ASV2021_inner,nan,nan,nan,nan,nan,nan,nan,modelname,version
method,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,0inner,1AR,2Non-AR,3traditional,4unknown,5concat,6whole,,
model,,,,,,,,,,,,,,,,
AASIST---v26,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v26
AASIST---v27,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v27
AASIST---v28,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v28
AASIST---v29,nan,nan,nan,nan,nan,nan,nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,nan/nan,AASIST,v29
SFATNet---v00,86.46/23.43,78.36/30.55,78.23/30.36,81.11/27.29,77.16/30.86,86.51/23.31,79.44/29.40,nan,nan,nan,nan,nan,nan,nan,SFATNet,v00
SFATNet---v01,83.05/26.10,76.54/31.39,77.36/30.40,80.19/27.76,77.08/30.42,81.58/27.77,78.19/29.81,nan,nan,nan,nan,nan,nan,nan,SFATNet,v01
SFATNet---v02,85.07/24.71,78.18/30.25,77.23/30.72,81.27/26.93,78.87/28.99,85.15/24.70,79.45/28.97,nan,nan,nan,nan,nan,nan,nan,SFATNet,v02
SFATNet---v03,83.21/26.44,76.34/31.80,76.31/31.71,80.45/28.05,76.50/31.26,82.85/26.71,77.91/30.48,nan,nan,nan,nan,nan,nan,nan,SFATNet,v03
SFATNet---v04,84.67/24.42,78.36/30.28,77.25/30.93,81.76/26.42,79.43/28.58,84.49/24.66,79.65/28.76,nan,nan,nan,nan,nan,nan,nan,SFATNet,v04
SFATNet---v06,85.80/23.88,79.12/29.47,78.53/30.17,81.78/26.35,78.55/29.53,85.09/24.99,80.02/28.54,nan,nan,nan,nan,nan,nan,nan,SFATNet,v06
SFATNet---v07,81.52/27.90,75.40/33.08,75.65/32.34,78.35/29.49,75.52/31.97,81.31/28.47,76.70/31.47,nan,nan,nan,nan,nan,nan,nan,SFATNet,v07
SFATNet---v08,84.69/24.55,78.26/29.78,78.30/29.46,82.25/25.60,78.30/29.25,83.68/25.47,79.69/28.35,nan,nan,nan,nan,nan,nan,nan,SFATNet,v08
SFATNet---v09,82.28/26.63,76.22/32.08,75.46/32.34,80.28/27.44,77.81/29.76,82.78/26.15,77.94/30.18,nan,nan,nan,nan,nan,nan,nan,SFATNet,v09
SFATNet---v10,85.03/24.91,78.33/30.22,77.87/30.17,81.20/27.05,77.71/30.00,83.65/26.41,79.23/29.15,nan,nan,nan,nan,nan,nan,nan,SFATNet,v10
ASDG---v00,89.46/18.84,82.32/27.15,82.48/25.51,87.87/20.99,85.91/23.42,87.86/21.31,84.91/24.19,nan,nan,nan,nan,nan,nan,nan,ASDG,v00
ASDG---v01,91.07/17.82,82.68/26.34,81.07/27.91,89.56/19.43,86.75/22.41,89.49/19.40,85.41/24.06,nan,nan,nan,nan,nan,nan,nan,ASDG,v01
ASDG---v02,89.95/18.45,80.44/28.39,80.13/26.89,85.84/23.29,83.45/25.51,88.47/20.70,82.98/25.74,nan,nan,nan,nan,nan,nan,nan,ASDG,v02
ASDG---v03,90.31/18.25,81.86/27.27,82.04/26.00,86.70/22.07,83.51/25.36,88.88/19.97,83.97/24.81,nan,nan,nan,nan,nan,nan,nan,ASDG,v03
ASDG---v04,85.75/24.27,82.48/27.53,81.60/28.40,84.52/25.37,84.94/25.80,83.76/27.47,83.43/27.02,nan,nan,nan,nan,nan,nan,nan,ASDG,v04
ASDG---v06,91.59/16.97,82.84/26.24,82.27/26.51,89.32/19.63,85.81/23.67,90.08/18.88,85.50/23.85,nan,nan,nan,nan,nan,nan,nan,ASDG,v06
ASDG---v07,86.47/19.67,81.77/28.12,79.99/28.68,87.75/20.56,85.39/25.24,85.65/20.54,83.89/25.33,nan,nan,nan,nan,nan,nan,nan,ASDG,v07
ASDG---v08,88.39/19.19,80.64/28.26,80.16/27.53,87.19/20.29,84.20/24.86,87.74/20.16,83.41/25.23,nan,nan,nan,nan,nan,nan,nan,ASDG,v08
ASDG---v09,88.98/19.06,80.68/27.49,79.77/27.25,84.63/23.77,81.30/26.61,88.42/20.66,82.18/26.05,nan,nan,nan,nan,nan,nan,nan,ASDG,v09
ASDG---v10,89.33/17.80,82.83/27.10,81.83/26.93,88.84/19.24,86.75/23.24,88.51/19.15,85.35/23.94,nan,nan,nan,nan,nan,nan,nan,ASDG,v10
Ours/ResNet---v11,97.21/$\phantom{0}$8.89,91.17/17.81,91.86/17.07,97.27/$\phantom{0}$8.64,95.61/12.52,96.63/10.24,94.16/14.34,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v11
Ours/ResNet---v17,97.79/$\phantom{0}$7.71,91.50/17.27,91.25/17.72,97.63/$\phantom{0}$8.03,95.49/12.41,97.62/$\phantom{0}$8.28,94.25/14.06,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v17
Ours/ResNet---v19,97.16/$\phantom{0}$9.10,91.46/17.87,91.47/18.23,97.02/$\phantom{0}$9.41,95.24/13.14,96.29/10.86,93.97/14.86,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v19
Ours/ResNet---v21,97.25/$\phantom{0}$8.35,90.74/18.01,91.43/17.54,96.68/$\phantom{0}$9.36,94.98/12.87,97.11/$\phantom{0}$9.00,93.73/14.41,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v21
Ours/ResNet---v22,96.61/$\phantom{0}$9.79,90.52/18.72,90.27/18.53,96.36/$\phantom{0}$9.82,93.95/14.43,95.90/11.25,93.01/15.36,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v22
Ours/ResNet---v23,97.63/$\phantom{0}$8.42,90.80/18.57,90.43/19.02,96.96/$\phantom{0}$9.74,94.09/14.68,97.17/$\phantom{0}$9.42,93.41/15.60,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v23
Ours/ResNet---v24,97.27/$\phantom{0}$9.13,91.23/17.74,90.50/19.16,97.54/$\phantom{0}$8.12,95.98/11.61,96.79/10.30,94.04/14.44,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v24
Ours/ResNet---v25,96.86/$\phantom{0}$9.25,90.66/18.35,90.63/18.36,96.92/$\phantom{0}$8.86,94.82/13.09,96.33/10.51,93.49/14.87,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v25
Ours/ResNet---v26,97.49/$\phantom{0}$8.96,90.66/18.78,90.56/18.66,96.84/10.13,94.91/13.41,96.85/10.13,93.53/15.41,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v26
Ours/ResNet---v27,97.32/$\phantom{0}$8.33,90.85/18.11,90.60/18.82,96.98/$\phantom{0}$8.45,95.49/12.20,97.33/$\phantom{0}$8.89,93.78/14.55,nan,nan,nan,nan,nan,nan,nan,Ours/ResNet,v27
