,test-acc,test-auc,test-eer,model,task,version,method
0,0.4320907592773437,0.6579029560089111,0.3829730451107025,Wave2Vec2,ASV2021_inner,0,0inner
1,0.45024573802948,0.7326973676681519,0.332325130701065,Wave2Vec2,ASV2021_inner,0,1AR
2,0.4621217846870422,0.7343441247940063,0.3322329819202423,Wave2Vec2,ASV2021_inner,0,2Non-AR
3,0.4061262011528015,0.6924172043800354,0.3534144759178161,Wave2Vec2,ASV2021_inner,0,3traditional
4,0.4949814081192016,0.7174608707427979,0.3375820517539978,Wave2Vec2,ASV2021_inner,0,4unknown
5,0.2812515497207641,0.6301404237747192,0.4040987491607666,Wave2Vec2,ASV2021_inner,0,5concat
6,0.8144668340682983,0.7122869491577148,0.3448359668254852,Wave2Vec2,ASV2021_inner,0,6whole
7,0.7443281412124634,0.753345251083374,0.4074248373508453,Wave2Vec2,ASV2021_inner,1,0inner
8,0.7495652437210083,0.7297180891036987,0.3528922498226166,Wave2Vec2,ASV2021_inner,1,1AR
9,0.7576755285263062,0.754485011100769,0.3271431922912597,Wave2Vec2,ASV2021_inner,1,2Non-AR
10,0.7384112477302551,0.7452169060707092,0.3415858745574951,Wave2Vec2,ASV2021_inner,1,3traditional
11,0.7776890397071838,0.7203537225723267,0.3469688594341278,Wave2Vec2,ASV2021_inner,1,4unknown
12,0.6787108778953552,0.7304788827896118,0.4241111278533935,Wave2Vec2,ASV2021_inner,1,5concat
13,0.9113573431968688,0.7366260886192322,0.3483758270740509,Wave2Vec2,ASV2021_inner,1,6whole
14,0.7277137041091919,0.5866454243659973,0.435335248708725,Wave2Vec2,ASV2021_inner,2,0inner
15,0.7353875041007996,0.7285593748092651,0.3732325136661529,Wave2Vec2,ASV2021_inner,2,1AR
16,0.7360361218452454,0.7246118783950806,0.3848117291927337,Wave2Vec2,ASV2021_inner,2,2Non-AR
17,0.7241576313972473,0.646614134311676,0.4142768681049347,Wave2Vec2,ASV2021_inner,2,3traditional
18,0.7677907943725586,0.7015484571456909,0.3765215575695038,Wave2Vec2,ASV2021_inner,2,4unknown
19,0.6604715585708618,0.5615274906158447,0.4355958998203277,Wave2Vec2,ASV2021_inner,2,5concat
20,0.8956602215766907,0.6881014704704285,0.407155841588974,Wave2Vec2,ASV2021_inner,2,6whole
21,0.7397066950798035,0.6280378103256226,0.4342592060565948,Wave2Vec2,ASV2021_inner,3,0inner
22,0.7476370334625244,0.778792142868042,0.3441095054149627,Wave2Vec2,ASV2021_inner,3,1AR
23,0.7542724013328552,0.8074949383735657,0.3079568147659302,Wave2Vec2,ASV2021_inner,3,2Non-AR
24,0.729957103729248,0.8070881962776184,0.303700715303421,Wave2Vec2,ASV2021_inner,3,3traditional
25,0.770430326461792,0.7996780872344971,0.2816446721553802,Wave2Vec2,ASV2021_inner,3,4unknown
26,0.6710988283157349,0.5661748647689819,0.4355271160602569,Wave2Vec2,ASV2021_inner,3,5concat
27,0.9136033654212952,0.7776596546173096,0.3321354687213897,Wave2Vec2,ASV2021_inner,3,6whole
28,0.7488350868225098,0.7335810661315918,0.3450013399124145,Wave2Vec2,ASV2021_inner,5,0inner
29,0.752173900604248,0.8192178010940552,0.281204879283905,Wave2Vec2,ASV2021_inner,5,1AR
30,0.7602278590202332,0.855431854724884,0.2080364972352981,Wave2Vec2,ASV2021_inner,5,2Non-AR
31,0.7415968775749207,0.8922427296638489,0.1759855151176452,Wave2Vec2,ASV2021_inner,5,3traditional
32,0.7805716395378113,0.8872847557067871,0.1754841357469558,Wave2Vec2,ASV2021_inner,5,4unknown
33,0.6841480731964111,0.6647652387619019,0.3671686947345733,Wave2Vec2,ASV2021_inner,5,5concat
34,0.9122432470321656,0.8455121517181396,0.2434850484132766,Wave2Vec2,ASV2021_inner,5,6whole
35,0.7444045543670654,0.7012014985084534,0.3411119878292084,Wave2Vec2,ASV2021_inner,6,0inner
36,0.7468053102493286,0.7706190347671509,0.2897808253765106,Wave2Vec2,ASV2021_inner,6,1AR
37,0.7564548254013062,0.773434042930603,0.2786360383033752,Wave2Vec2,ASV2021_inner,6,2Non-AR
38,0.7406166791915894,0.8011254072189331,0.2468881160020828,Wave2Vec2,ASV2021_inner,6,3traditional
39,0.7800506949424744,0.8113436698913574,0.2404924035072326,Wave2Vec2,ASV2021_inner,6,4unknown
40,0.681380033493042,0.6559638381004333,0.3639364540576935,Wave2Vec2,ASV2021_inner,6,5concat
41,0.90715229511261,0.7775975465774536,0.273858368396759,Wave2Vec2,ASV2021_inner,6,6whole
42,0.7448628544807434,0.8797541856765747,0.2368072122335434,Wave2Vec2,ASV2021_inner,10,0inner
43,0.7494896054267883,0.7560663223266602,0.3502457439899444,Wave2Vec2,ASV2021_inner,10,1AR
44,0.7573795914649963,0.7261772751808167,0.3719826638698578,Wave2Vec2,ASV2021_inner,10,2Non-AR
45,0.7355523705482483,0.760331928730011,0.3517639636993408,Wave2Vec2,ASV2021_inner,10,3traditional
46,0.7751536965370178,0.7363815307617188,0.357563853263855,Wave2Vec2,ASV2021_inner,10,4unknown
47,0.678562581539154,0.9181976318359376,0.1583479791879654,Wave2Vec2,ASV2021_inner,10,5concat
48,0.9134411215782166,0.7604824304580688,0.351775586605072,Wave2Vec2,ASV2021_inner,10,6whole
