task,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,LibriSeVoc_cross_dataset,modelname,version
method,0,1,2,3,4,5,6,inTheWild,en,ch,avg,,
model,,,,,,,,,,,,,
WaveLM-old1---v04,90.96/16.06,85.28/22.31,94.83/11.15,82.42/24.84,77.51/29.03,88.44/19.06,78.40/28.31,87.70/19.31,46.44/55.57,75.42/29.27,85.40/21.54,WaveLM-old1,v04
WaveLM-old1---v06,97.31/$\phantom{0}$7.24,93.96/12.87,98.35/$\phantom{0}$5.34,91.82/15.48,88.03/19.60,95.34/10.69,91.32/15.85,87.92/19.77,62.98/41.24,75.12/29.14,93.73/12.44,WaveLM-old1,v06
WaveLM-old1---v07,96.64/$\phantom{0}$8.50,90.91/16.67,97.51/$\phantom{0}$6.74,89.32/18.39,84.44/23.44,95.14/10.92,88.06/19.71,92.42/13.90,55.17/47.89,76.45/27.83,91.72/14.91,WaveLM-old1,v07
WaveLM-old1---v08,99.02/$\phantom{0}$2.85,97.83/$\phantom{0}$5.92,99.14/$\phantom{0}$2.63,97.39/$\phantom{0}$6.73,94.88/10.85,98.84/$\phantom{0}$3.17,97.23/$\phantom{0}$6.72,92.87/14.92,76.11/28.36,76.14/27.16,97.76/$\phantom{0}$5.55,WaveLM-old1,v08
WaveLM-old1---v09,96.52/$\phantom{0}$9.21,89.57/18.32,97.33/$\phantom{0}$7.76,87.40/20.45,81.53/26.05,94.81/11.81,85.59/22.24,91.84/15.13,52.08/50.56,75.17/29.17,90.39/16.55,WaveLM-old1,v09
WaveLM-old1---v10,91.33/15.92,83.23/24.54,94.70/11.50,82.14/25.42,76.78/30.34,89.75/17.92,77.10/29.98,85.58/21.12,51.74/51.56,74.12/30.02,85.00/22.23,WaveLM-old1,v10
LibriSeVoc---v00,99.29/$\phantom{0}$4.05,72.99/33.23,82.05/25.60,62.02/41.11,72.69/33.37,96.00/10.85,99.95/$\phantom{0}$0.94,82.55/25.92,49.48/50.74,64.03/40.87,83.57/21.31,LibriSeVoc,v00
LibriSeVoc---v01,97.55/$\phantom{0}$7.85,72.58/32.96,82.39/24.85,61.77/41.06,72.28/33.50,88.01/19.54,99.92/$\phantom{0}$1.30,86.13/21.78,42.03/56.90,62.45/40.21,82.07/23.01,LibriSeVoc,v01
LibriSeVoc---v02,98.42/$\phantom{0}$6.54,73.29/32.15,75.33/30.18,58.20/43.66,70.33/34.46,94.21/13.15,99.94/$\phantom{0}$1.11,82.04/25.27,45.95/52.59,58.81/42.77,81.39/23.04,LibriSeVoc,v02
LibriSeVoc---v03,97.96/$\phantom{0}$7.15,74.60/31.48,81.30/25.37,62.40/40.85,73.93/31.95,92.09/15.60,99.93/$\phantom{0}$1.24,82.70/24.75,48.00/52.09,63.41/39.96,83.17/21.95,LibriSeVoc,v03
LibriSeVoc---v04,97.95/$\phantom{0}$6.97,71.11/34.39,85.95/21.73,62.92/40.79,77.91/29.43,85.39/21.26,99.99/$\phantom{0}$0.42,83.97/24.16,48.99/50.97,64.28/39.42,83.03/22.14,LibriSeVoc,v04
LibriSeVoc---v06,96.62/$\phantom{0}$8.62,59.98/43.68,67.60/37.33,53.58/47.81,62.45/41.85,89.46/18.02,99.88/$\phantom{0}$1.26,81.95/26.30,41.15/57.85,58.72/43.76,75.65/28.37,LibriSeVoc,v06
LibriSeVoc---v07,98.76/$\phantom{0}$5.16,75.30/30.46,81.51/25.33,59.37/42.91,71.99/33.56,92.74/13.80,99.97/$\phantom{0}$0.86,84.55/23.22,47.43/52.16,60.64/41.72,82.80/21.73,LibriSeVoc,v07
LibriSeVoc---v08,98.37/$\phantom{0}$5.41,66.47/38.20,82.33/24.26,58.27/44.27,71.49/34.06,89.40/16.48,99.95/$\phantom{0}$0.82,83.39/25.08,39.77/58.39,63.78/41.00,80.90/23.36,LibriSeVoc,v08
LibriSeVoc---v09,98.20/$\phantom{0}$5.92,72.29/33.01,79.22/26.96,59.83/42.76,72.76/32.79,92.46/13.79,99.92/$\phantom{0}$1.22,81.11/26.26,58.49/43.11,61.24/41.08,82.10/22.35,LibriSeVoc,v09
LibriSeVoc---v10,98.85/$\phantom{0}$4.95,71.47/33.26,83.36/23.30,61.43/41.36,72.27/32.42,90.96/15.95,99.98/$\phantom{0}$0.57,84.71/24.05,37.87/58.65,65.89/37.89,82.62/21.69,LibriSeVoc,v10
Wav2Clip---v00,94.29/13.02,91.95/15.81,96.03/10.73,94.43/12.87,96.21/10.18,87.35/20.97,99.91/$\phantom{0}$1.29,29.09/66.69,84.47/23.38,82.52/25.44,94.31/12.12,Wav2Clip,v00
Wav2Clip---v01,99.84/$\phantom{0}$1.96,93.09/14.53,96.49/$\phantom{0}$9.82,94.59/12.63,95.39/11.51,99.65/$\phantom{0}$2.87,99.89/$\phantom{0}$1.52,26.28/69.11,63.18/42.10,85.18/22.59,96.99/$\phantom{0}$7.83,Wav2Clip,v01
Wav2Clip---v02,99.44/$\phantom{0}$3.41,92.80/15.16,97.41/$\phantom{0}$8.17,95.61/11.08,96.56/$\phantom{0}$9.70,98.32/$\phantom{0}$6.38,99.98/$\phantom{0}$0.58,23.27/71.15,69.92/36.22,83.67/23.56,97.16/$\phantom{0}$7.78,Wav2Clip,v02
Wav2Clip---v03,99.39/$\phantom{0}$3.60,89.93/18.24,98.42/$\phantom{0}$6.19,94.95/12.26,95.86/10.86,98.23/$\phantom{0}$6.77,99.95/$\phantom{0}$0.95,25.67/69.48,68.34/38.14,84.33/22.93,96.68/$\phantom{0}$8.41,Wav2Clip,v03
Wav2Clip---v04,98.75/$\phantom{0}$5.46,96.60/$\phantom{0}$9.51,98.90/$\phantom{0}$4.91,97.72/$\phantom{0}$7.42,98.18/$\phantom{0}$6.66,94.34/12.54,99.99/$\phantom{0}$0.33,30.13/66.01,71.26/36.07,81.30/25.88,97.78/$\phantom{0}$6.69,Wav2Clip,v04
Wav2Clip---v06,99.82/$\phantom{0}$1.99,90.03/18.06,97.61/$\phantom{0}$8.10,94.84/12.39,96.23/10.39,99.72/$\phantom{0}$2.48,99.97/$\phantom{0}$0.63,22.32/72.14,67.26/38.76,80.99/25.99,96.89/$\phantom{0}$7.72,Wav2Clip,v06
